address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"Золоторожский проезд, 3",70000001049207966,Стоматологическая клиника Екатерины Орловой,branch,,,,,
"улица 3-е Почтовое отделение, 51",4504128908583858,"Вита, стоматологическая клиника",branch,,,1 этаж,,
"улица Вавилова, 81 к1",70000001018408515,"Хэппи дент, стоматологический центр",branch,,,3 этаж,,
"Чапаевский переулок, 3",70000001083785765,"Queen Nella kids, семейная стоматология",branch,,,2 этаж,,
"9-я Парковая улица, 32",4504127909075497,"Ириокс, стоматологическая клиника",branch,,,цокольный этаж,,
"проспект Мира, 70а",4504128908673336,"Cosmetic Dent, стоматологическая клиника",branch,,,1 этаж,,
"Малый Лёвшинский переулок, 3",70000001006168599,"Nautilus, стоматология",branch,,,,,
"улица Строителей, 7 к1",4504127917399272,Клиника концептуальной стоматологии,branch,,,1 этаж,,
"Бескудниковский проезд, 4 к1",70000001081108568,"Аделия, стоматология",branch,,,,,
"Малая Грузинская улица, 29",70000001103016815,"Митралаб, центр стратегической имплантации",branch,,,1 этаж,,
"улица Генерала Кузнецова, 23",70000001065267259,"Дав дент, стоматологическая клиника",branch,,,1 этаж,,
"Зеленоград, к1106е",70000001087224205,"Ника Денталь, центр цифровой стоматологии",branch,,,,,
"улица Ленина, 38Б",4504127920155992,"Дента-Эйд, стоматологический центр",branch,,,,,
"улица Расплетина, 13",70000001060157887,"Галкин, инновационный центр стоматологии",branch,,,1 этаж,,
"Братиславская улица, 6",70000001023033989,"Ортосмайл, ортодонтическая клиника",branch,,,109 офис; 6 этаж,,
"улица Авиаконструктора Сухого, 2 к1",70000001099363117,"НирванаДент, стоматологическая клиника",branch,,,119 помещение,,
"Мукомольный проезд, 2",70000001098509955,"Smile concept, стоматология",branch,,,,,
"Амурская улица, 1а к2",70000001052146370,"Nice Dent, стоматология",branch,,,1 этаж,,
"улица Свободы, 19",70000001093981941,АйссДентика,branch,,,,,
"Истринская улица, 8 к3",4504128908603677,"СтомАртСтудио Leonardo, стоматология",branch,,,1 этаж,,
"Крылатская улица, 33 к2",4504127917455549,"Диастом, стоматологическая клиника",branch,,,,,
"Волоколамское шоссе, 71 к2",70000001105374645,"Албис, стоматологическая клиника",branch,,,,,
"Пятницкое шоссе, 23 к2",4504127908510961,"Русмед, стоматологический центр",branch,,,,,
"Октябрьский бульвар, 14",4504127908872991,"Денти легус-М, стоматологическая клиника",branch,,,4 офис; 1 этаж,,
"Мичуринский проспект, Олимпийская деревня проспект, 25",70000001020847411,"Лайфдент, стоматологическая клиника",branch,,,1 этаж,,
"Митинская улица, 28",70000001029827372,Биостоматология,branch,,,,,
"улица Октября, 24",70000001065543215,"Dental Beauty, стоматологическая клиника",branch,,,017 помещение,,
"Битцевский проезд, 1",70000001066511336,"ColibryDent, стоматология",branch,,,1 этаж,,
"проспект Мира, 131",4504128908486806,"Doctor hollywood, стоматология",branch,,,1 этаж,,
"Народная улица, 11 ст1",70000001030890532,Стоматологическая клиника,branch,,,1 этаж,,
"Дмитровское шоссе, 90 к1",70000001039180203,"Mmdents, стоматология",branch,,,1 этаж,,
"улица Народного Ополчения, 32",4504127908385977,"Глория, стоматологическая клиника",branch,,,1 этаж,,
"улица Пушкина, 8Б",70000001024499612,"BNL clinic, стоматологическая клиника",branch,,,3 этаж,,
"улица Талсинская, 24а",70000001037172683,"Эстетико, стоматологическая клиника",branch,,,1 этаж,,
"Краснознаменская улица, 15",70000001061106208,"Альбус денте, стоматология",branch,,,1 этаж,,
"Ленинский проспект, 2а",70000001087225315,Total dent,branch,,,301-324 кабинет; 3 этаж,,
"улица Менделеева, 12а",70000001045616266,"Ortho-Dent, стоматологическая клиника",branch,,,18 офис; 2 этаж,,
"Георгиевский проспект, 37 к3",70000001077203897,"Восьмерка, зубная мастерская",branch,,,,,
"Нагатинская набережная, 10 к3",4504127915262220,"ДентАурум, стоматологическая клиника",branch,,,1 этаж,,
"Профсоюзная улица, 25",70000001034598628,"Всегда32, стоматология",branch,,,1 этаж,,
"улица Дыбенко, 22/3",4504127908364241,"Arcus, стоматологическая клиника",branch,,,1 этаж,,
"Речная улица, 7",70000001019534038,"Дента-Смайл, стоматология",branch,,,4 помещение; 1 этаж,,
"Литовский бульвар, 15 к1",4504127908434489,"ЗдоровьеЛ, стоматологическая клиника",branch,,,,,
"Сиреневый бульвар, 21а",4504127915541681,"Доктор Позитив, стоматологический центр",branch,,,2 этаж,,
"Варшавское шоссе, 160 к1",70000001099456213,Стоматология доктора Мирошиной,branch,,,1 этаж,,
"улица Знаменские Садки, 3 к1",4504127908372713,"Асфарм мед, стоматологический центр",branch,,,,,
"Комсомольский переулок, 53",70000001030049015,"Жемчужина, стоматология",branch,,,35 офис; 1 этаж,,
"Феодосийская улица, 7 к6",70000001039290110,"Новое поколение, стоматологическая клиника",branch,,,1 этаж,,
"улица Фадеева, 7 ст2",70000001048632102,"Only Smile, стоматологический центр",branch,,,1 этаж,,
"Белореченская улица, 43",70000001080929345,"Эконом клиника, медицинский центр",branch,,,1 этаж,,
"проезд Ветеранов, 8Б",70000001022645585,"Жемчужина, стоматологическая клиника",branch,,,2 этаж,,
"квартал 137а Самаркандский Бульвар, к1",70000001023121263,"Витадент+, стоматологический центр",branch,,,1 этаж,,
"Рублёвское шоссе, 34 к1",70000001036164433,"Yan daniel, стоматологическая клиника",branch,,,,,
"Братеевская улица, 21 к4",70000001037096535,"Зубок, кабинет стоматолога",branch,,,1 этаж,,
"Окская улица, 3 к1",70000001063636799,"Salilove, семейная стоматология",branch,,,1 этаж,,
"Октябрьский проспект, 5",70000001029441158,"Гелла-дент, стоматология",branch,,,1 этаж,,
"Магеллана проспект, 5",70000001101574315,"ДантистЪ, частная стоматологическая клиника",branch,,,1 этаж,,
"микрорайон Рекинцо, 31",70000001023351945,"Дантист-с, стоматологический центр",branch,,,4 кабинет; 2 этаж,,
"ДНТ Полянка-Лапшинка, 35",70000001096218126,"Полянка, стоматологическая клиника",branch,"Лапшинка, ДНТ Полянка-Лапшинка, 35",Частный дом,,,
"Комсомольская улица, 67",70000001033740728,Стоматология на Комсомольской,branch,,,1 этаж,,
"Берёзовая улица, 6",70000001006666113,"Дентал Мед, центр стоматологии",branch,,,1 этаж,,
"Тушинская улица, 17",70000001082053234,"Медицина для всех, стоматология",branch,,,1а этаж,,
"Раушская набережная, 4/5 ст1",70000001110524838,Кабинет стоматолога,branch,,,7 офис; 1 этаж,,
"Цветной бульвар, 24 ст2",70000001110815900,Кабинет пародонтолога,branch,,,2 этаж,,
"улица Западная, 3а",4504127908944362,"Дента Эстет, стоматологическая клиника",branch,,,11 офис; 1 этаж; 2 подъезд,,
"Пушкинская улица, 4",70000001018505290,"Медитек, стоматологический центр",branch,,,1 этаж,,
"улица Машкова, 6 ст2",70000001047868284,"Techne clinic, стоматология",branch,,,1 этаж,,
"проспект Мира, 21 ст1",70000001095084527,Vinichenko Dental Practice,branch,,,1 кабинет; 1 этаж,,
"Серебрянический переулок, 3 ст1",70000001110814758,Стоматологический кабинет,branch,,,,,
"Георгиевский проспект, 37 к3",70000001039465425,"Дента Макс, стоматологическая клиника",branch,,,1 этаж; вход со двора,,
"Родниковая улица, 4",70000001044110521,"Денталюкс, стоматология",branch,,,1 этаж,,
"Есенинский бульвар, 14 к1",70000001018926603,"Дентомир, стоматологическая клиника",branch,,,1 этаж,,
"улица 1905 года, 7 ст1",70000001089586178,"Открытая стоматология, стоматологический центр",branch,,,,,
"Большая Декабрьская улица, 1",70000001099884922,"БорисДент, стоматологическая клиника",branch,,,1 этаж,,
"улица Вертолётчиков, 13",70000001100239972,"Магия Зубов, стоматологический центр",branch,,,,,
"Нижняя Красносельская улица, 35 ст3",4504128908860782,"Implantoff. ru, студия улыбки",branch,,,33 офис; 1 этаж,,
"Центральный бульвар, 3",70000001022993759,"Улыбка, стоматологический центр",branch,,,1 этаж,,
"улица Талалихина, 35",4504127908659296,"Firadent, стоматологическая клиника",branch,,,1 этаж,,
"60-летия Октября проспект, 17",70000001098253599,Сивков Дентал Клиник,branch,,,,,
"улица Мира, 31а",70000001063573602,"Лидер дент, стоматологическая клиника",branch,,,2 этаж,,
"улица Медиков, 24",4504127908436023,"Идеал максимум, стоматологический центр",branch,,,1 этаж,,
"Преображенская улица, 2",70000001086863076,"Зубаст, стоматология",branch,,,1 этаж,,
"Вокзальная улица, 3",70000001044810285,"Волна, стоматологический центр",branch,,,1 этаж,,
"Валовая улица, 32/75 ст2",70000001089547001,"Denta class, медицинский центр",branch,,,2 этаж,,
"улица Генерала Белобородова, 35/2",70000001082485545,"Денталь-пери, стоматология",branch,,,12/1 помещение; 1 этаж,,
"улица Фёдора Полетаева, 9а",4504127911342867,"Дентал медикал центр, стоматологическая клиника",branch,"Москва, улица Фёдора Полетаева, 9а",Медицинское учреждение,,,
"Дубнинская улица, 26 к2",4504127921011702,"Стелла, стоматологическая клиника",branch,,,1 этаж,,
"улица 60 лет Победы, 8",70000001046226584,"Жемчужинa, стoматологическая клиника",branch,,,26 помещение; 1 этаж,,
"Зеленоград, к829",70000001083495092,Стоматология Олега Захарова,branch,,,1 этаж,,
"улица Народного Ополчения, 22 к1",70000001032573536,"Элен, стоматологическая клиника",branch,,,1 этаж,,
"улица Юных Ленинцев, 47 к4",4504127908913005,"Золотое сечение, медицинский центр",branch,,,,,
"улица Берзарина, 30 к3",70000001094117924,"Infinity smile, частная стоматология",branch,,,1 этаж,,
"Тарутинская улица, 4 к1",70000001095340011,"Имплант М, стоматологическая клиника",branch,,,,,
"проспект Победы, 6",4504127919780393,"Эклектика, стоматологическая клиника",branch,,,,,
"улица Красного Маяка, 22 к2",70000001076986188,"Не навреди, стоматология",branch,,,1 этаж,,
"улица Маршала Бирюзова, 21",4504127919202502,"Атласдент, стоматологическая клиника",branch,,,3 этаж,,
"Челобитьевское шоссе, 10 к3",70000001042898877,"Дента Люкс, стоматологический центр",branch,,,1 этаж,,
"Лунная улица, 35",70000001049140051,"Стефани дент, стоматология",branch,,,1 этаж,,
"3-я Парковая улица, 35",70000001063744177,"SNdent, стоматология",branch,,,1 этаж,,
"Верхние Поля улица, 36 к2",70000001023097909,"Квартал стом, стоматология",branch,,,1 этаж,,
"Новоясеневский проспект, 2а",70000001027357128,"Дент Элит, стоматологическая клиника",branch,,,4 этаж,,
"Октябрьский проспект, 403 к1 ст А",4504127908488315,"Высшая школа, стоматологический центр",branch,,,,,
"Профсоюзная улица, 124а",4504127908495407,"Омнидент, стоматологическая клиника",branch,,,2 этаж,,
"Малый Краснопрудный тупик, 2",4504127908481338,"Mexto Dent, стоматологическая клиника",branch,,,1 этаж,,
"Волынская улица, 12",70000001047532580,Стоматологический центр,branch,,,1 этаж,,
"Южный бульвар, 6",70000001096731373,"Арт Стом, стоматологическая клиника",branch,,,1 этаж,,
"Ивантеевская улица, 21",70000001104471918,"БарсМед, медицинский центр",branch,,,1 этаж,,
"Скандинавский бульвар, 14",70000001109998690,"Скандик, стоматологическая клиника",branch,,,1 этаж,,
"3-й Покровский проезд, 4",70000001110736540,"Dr.Subbotin, стоматологическая клиника",branch,,,,,
"Южнобутовская улица, 72",4504127908495440,"Оникс, стоматологическая клиника",branch,,,,,
"Можайское шоссе, 49",4504127908497148,"Пармадентал-2000, стоматологическая клиника",branch,,,1 этаж,,
"Воротынская улица, 5",4504127908569707,"Эксподента, стоматологическая клиника",branch,,,,,
"Молодёжная улица, 78",70000001018465038,"МериДент, семейная стоматология для взрослых и детей",branch,,,1 этаж,,
"улица Коминтерна, 13",70000001084290996,"Акмедент, стоматология",branch,,,1 этаж,,
"2-й квартал, 15",4504127908371886,Стоматологическая клиника,branch,,,13-14 офис; 2 этаж,,
"улица Гагарина, 49",70000001050173972,"Пломбир, стоматологическая клиника",branch,,,1 этаж,,
"улица Новая Слобода, 3",70000001084105750,"DentaLook, стоматологический кабинет",branch,,,,,
"Тушинская улица, 12",4504128908590000,"Тушино, стоматологический центр",branch,,,1 этаж; барбершоп Супермен,,
"улица Ленина, 22",70000001031420031,"Св клиник, стоматологический кабинет",branch,,,1 этаж,,
"Юбилейная улица, 4 к5",4504127918909607,"Даймонд, стоматологическая клиника",branch,,,1 этаж,,
"улица Талсинская, 23",4504127921290992,"Бюлинг, стоматология",branch,,,1 этаж,,
"Школьная улица, 1 к1",70000001035626719,"Новомосковская медицина, центр",branch,,,1 этаж,,
"Ленинский проспект, 3",4504127908472683,"Меда, стоматологическая клиника",branch,,,2 этаж,,
"Колхозная улица, 12 к2",4504127915902477,"Ника, стоматологическая клиника",branch,,,1 этаж,,
"улица Некрасова, 16",70000001031794441,"Эмма Мед, стоматология",branch,,,,,
"деревня Яковлевское, 14Б",70000001039967571,"Меркурий, стоматологический центр",branch,,,104 кабинет; 1 этаж,,
"рабочий посёлок Киевский, 23а",70000001087121381,"София, медицинский центр",branch,,,,,
"улица Лётчика Ульянина, 6",70000001036819259,Центр стоматологии для взрослых и детей,branch,,,1 этаж,,
"Пятницкое шоссе, 9",4504127908630936,"Жемчуг-2003, медицинский центр",branch,,,,,
"Мясницкий проезд, 2/1",70000001094505739,Центр эстетической стоматологии,branch,,,1 этаж,,
"Дергаевская улица, 36",70000001023936780,"Стоматолог и Я, стоматология",branch,,,1 этаж,,
"Большая Серпуховская улица, 29",70000001102913489,Стоматология,branch,,,2 этаж,,
"Коптевская улица, 22",4504127908473719,"Медистом, стоматологический центр",branch,,,1 этаж,,
"Вернадского проспект, 61 к2",70000001061217977,"Академия улыбок, стоматологическая клиника",branch,,,1 этаж,,
"улица Героев Панфиловцев, 14 к1",4504127908386062,"VM-dent, стоматологический центр",branch,,,1 этаж,,
"Хованская улица, 15",4504127911086243,"Гелиос, стоматологическая клиника",branch,,,1 этаж,,
"улица Колпакова, 44 ст А",70000001110154944,"Семья, стоматологический центр",branch,,,,,
"улица Симоновский Вал, 26 к2",4504127918454867,"Стелла, стоматологическая клиника",branch,,,1 этаж,,
"Георгиевская улица, 11",70000001110414393,Правмед,branch,,,,,
"Петровско-Разумовский проезд, 22 к8",4504127914808582,"Дента-дом, стоматология",branch,,,1 этаж,,
"Ленинградское шоссе, 94 к1",4504127909076234,"Экстрейд, стоматологическая клиника",branch,,,1 этаж,,
"Ломоносовский проспект, 29 к2",4504127915313546,"Эмчи, стоматологическая клиника",branch,,,1 этаж,,
"Лобненская улица, 13 к4",70000001092472671,"РеализмоДенто, стоматологическая клиника",branch,,,1 этаж,,
"улица Дмитрия Ульянова, 36",70000001025526677,"Dental art systems, стоматология",branch,,,,,
"улица Авиаконструктора Сухого, 2 к1",70000001084537529,"Эстетика дент, стоматологическая клиника",branch,,,вход со двора,,
"улица Врубеля, 8",70000001029732664,"Roangoli, стоматологический центр",branch,,,1 этаж,,
"Большая Академическая улица, 39",70000001027472898,"Академия улыбки, стоматологический центр",branch,,,2 этаж; медицинский центр CMD,,
"Гарибальди улица, 36",70000001094004554,Своя стоматология,branch,,,,,
"Алтуфьевское шоссе, 74",70000001074531125,Miracle dent,branch,,,1 этаж,,
"Садовая-Черногрязская улица, 3Б ст1",70000001019790904,"Esthetic classic dent, стоматологическая клиника",branch,,,1 этаж,,
"Батюнинская улица, 13",4504127908375749,Стоматологическая клиника Доктора Кудрявцева,branch,,,1 этаж,,
"Красная улица, 58",70000001039250172,"Антипа, стоматологическая клиника",branch,,,704 офис; 7 этаж,,
"Новочерёмушкинская улица, 20/23",4504127908393502,"Дентал люкс, стоматологическая клиника",branch,,,1 этаж,,
"Федеративный проспект, 24 к1",4504127909216343,"Дм стом, стоматологическая клиника",branch,,,1 этаж,,
"Новоалексеевская улица, 5",4504127908464396,"Люксдент, стоматологическая клиника",branch,,,цокольный этаж,,
"Совхозная улица, 13",70000001084124935,"Пломбир, центр стоматологии",branch,,,2 этаж,,
"Братиславская улица, 8",4504127908640184,"Evo smile, медицинский центр",branch,,,1 этаж,,
"1-й Волконский переулок, 15",70000001026572246,"Den Mark, стоматологический кабинет",branch,,,1 этаж,,
"Муравская улица, 42 к1",70000001094313926,"Аркана, стоматологическая клиника",branch,,,1 этаж,,
"улица Зацепа, 28",4504128908847860,"Варта, стоматологическая клиника",branch,,,1 этаж,,
"Комсомольский проспект, 16",70000001031487877,Стоматологическая клиника,branch,,,,,
"Подмосковный бульвар, 4",70000001048167692,Стоматолог и Я,branch,,,1 этаж,,
"Подольская улица, 14а",70000001089140813,"Славянка Дент, стоматологическая клиника",branch,,,1 этаж,,
"Перервинский бульвар, 27 к1",4504127908472970,"Медиа дент, стоматология",branch,,,1 этаж,,
"улица Павла Андреева, 4",70000001110705294,"MGE-my geometry of aesthetic, стоматологическая клиника",branch,,,,,
"улица Гвоздева, 5",70000001105737771,Seviyan Dent,branch,,,1 этаж,,
"Смирновская улица, 23",4504128908817809,"Масис дент, стоматологическая клиника",branch,,,3 этаж,,
"Кутузовская улица, 3",70000001006607775,"Стом-эстетик, стоматологический центр",branch,,,,,
"Юбилейный проспект, 67",70000001063819507,Асс Дент,branch,,,1 этаж,,
"улица Князей Романовых, ст1029",70000001048713697,Дантистъ,branch,,,,,
"Лесная улица, 19 к3",70000001098229186,"Дентал Про, клиника",branch,,,1 этаж,,
"улица Вавилова, 39а",4504128908629201,"Центракадемплюс, стоматологический центр",branch,,,1 этаж,,
"Шарикоподшипниковская улица, 13а",70000001093902817,"EvaDent, стоматологическая клиника",branch,,,7 офис; 2 этаж,,
"1-й Самотёчный переулок, 15 ст1",70000001057300284,"Family dental clinic, стоматологическая клиника",branch,,,1 этаж,,
"Высокая улица, 21",70000001109736729,"Иес дент, стоматологическая клиника",branch,,,,,
"Комсомольская улица, 12",70000001034109746,"Мастер и Маргарита, стоматологический центр",branch,,,1 этаж,,
"Мадонская улица, 12Б",70000001022950547,"Сова, стоматологическая клиника",branch,,,1 этаж,,
"Флотская улица, 9 к1",4504127908660316,"Экстрадент, стоматологический кабинет",branch,,,1 этаж,,
"улица Перерва, 40",4504127908668962,"Янтарь, стоматологическая клиника",branch,,,1 этаж,,
"Пролетарский проспект, 2а",4504127908669435,"Мастер плюс, стоматологическая клиника",branch,,,3 этаж,,
"Михалковская улица, 63Б ст1",70000001087225118,"Эстет Дент, стоматологический центр",branch,,,3 этаж; 1 подъезд,,
"улица Земляной Вал, 14/16",70000001065666208,"Дентал Стиль, стоматологическая клиника",branch,,,1 этаж; вход со двора,,
"Береговая улица, 4 к10",70000001095331311,"Лайт Инсайт, стоматологическая клиника",branch,,,,,
"Щербаковская улица, 9",4504127909464385,"Счастливы вместе, стоматологическая клиника",branch,,,1 этаж; домофон 1,,
"проспект Маршала Жукова, 74 к1",4504127908519324,Стоматологическая клиника доктора Лазарева,branch,,,1 этаж,,
"Кировоградская улица, 30",4504127908565883,"Улыбка+, стоматологический центр",branch,,,1 этаж,,
"Смоленский бульвар, 15",70000001062750283,"iDentica, стоматологическая клиника",branch,,,,,
"проспект Космонавтов, 47/16",70000001068020563,"Здоровье, стоматология",branch,,,1 этаж,,
"Профсоюзная улица, 104",70000001062708221,"Стоматолог, стоматологический кабинет",branch,,,2 этаж,,
"Братьев Гранат, 8",70000001110415159,"Прокшино, центр современной стоматологии",branch,,,,,
"улица Котовского, 7",70000001111123758,Грин клиник,branch,,,,,
"Петровско-Разумовский проезд, 15",4504127908447142,"ККС, стоматологическая клиника",branch,,,1 этаж,,
"Фестивальная улица, 22 к6",4504127908464064,"Локис, стоматологический центр",branch,,,2 этаж,,
"Маломосковская улица, 21 к4",4504127908496909,"Mclinic, стоматологическая клиника",branch,,,9 помещение; 1 этаж,,
"Советская улица, 17а",70000001028878187,"Центр семейной стоматологии, г. Электросталь",branch,,,01-02 офис; 1 этаж,,
"улица Горчакова, 3",70000001036482349,"Malident, стоматологическая клиника",branch,,,1 этаж,,
"Хлебозаводская улица, 28 к6",70000001047080558,"Стомит, стоматологическая клиника",branch,,,1 этаж,,
"Сиреневый бульвар, 4/1",70000001101487729,"Рэгем, стоматологическая клиника",branch,,,5Н помещение,,
"улица Декабристов, 2 к1",4504127908509973,"Реал-дент, стоматологическая клиника",branch,,,,,
"Большая Академическая улица, 35 ст1",4504127915408203,"Смайл Сити, стоматологический центр",branch,,,2 этаж,,
"улица Агрогородок, 7",70000001021114062,"Аквастом, клиника стоматологии",branch,,,1 этаж,,
"улица Шмидта, 9",4504127916092162,"Доктор Смайл, стоматологическая клиника",branch,,,,,
"улица Руднёвка, 3",70000001049278938,"Мир Улыбок, стоматология",branch,,,1 этаж,,
"улица Костякова, 17 к1",70000001065580447,"Dobrenkov Dental Clinic, стоматологическая клиника",branch,,,1 этаж,,
"Дергаевская улица, 18",70000001028181949,Стоматологическая клиника Доктора Дорофеевой,branch,,,1 этаж,,
"Башиловская улица, 19",4504127908454144,"Ладент, стоматологическая клиника",branch,,,1 этаж,,
"Новопесчаная улица, 25/23",4504127908519364,Стоматология на Песчаной площади,branch,,,1 этаж,,
"Автозаводская улица, 23 ст931 к4",70000001044984588,Empire Dental Clinic,branch,,,1 этаж,,
"Юбилейный проспект, 82а",70000001087778644,"Академия-Мс, стоматологическая клиника",branch,,,,,
"Большая Академическая улица, 67",4504127908489636,"Стоматология24, стоматологическая клиника",branch,,,1 этаж,,
"Ореховый бульвар, 57",4504128908401820,"32 Жемчужины, стоматологическая клиника",branch,,,1 этаж,,
"Первомайская улица, 17",70000001019443518,"DinStom Династия, центр цифровой стоматологии",branch,,,1 этаж,,
"Октябрьская улица, 36",4504127914017693,"Бест, стоматологическая клиника",branch,,,1 этаж,,
"Карамышевская набережная, 48 к1",4504128908606639,Профессиональная стоматология,branch,,,,,
"бульвар Строителей, 5",70000001044392870,"Вера, медицинский диагностический центр",branch,,,,,
"Мурановская улица, 12",70000001104419441,"Wish clinic, стоматология",branch,,,,,
"Самаркандский бульвар, 11 к1",4504127908393828,"Гамма, стоматологический центр",branch,,,,,
"Бескудниковский бульвар, 58 к1",4504128908461258,"Рс, клиника",branch,,,"1 этаж; напротив МНТК Микрохирургия глаза, вывеска Стоматология",,
"улица Юности, 4",70000001092585504,"L Dent, стоматологический центр",branch,,,1 этаж,,
"Реутовская улица, 11",70000001058919527,Goodsmile,branch,,,1 этаж,,
"Верхоянская улица, 6 к1",70000001039026746,"СваоДентал, стоматологическая клиника",branch,,,1 этаж,,
"Коммунистическая улица, 4",70000001102724524,"Маэстро Дент, стоматологическая клиника",branch,,,,,
"Боровское шоссе, 30а",70000001034706579,"Новопеределкино, стоматологический комплекс",branch,,,3 этаж,,
"Судостроительная улица, 10 к2",4504127909215663,"Дентал-оффис, стоматологическая клиника",branch,,,1 этаж,,
"улица Мира, 18",70000001069064570,"Мирасмайл, центр стоматологии",branch,,,1 этаж; вход со двора,,
"улица Нахимова, 14",70000001031692489,"Urbanstom, стоматология",branch,,,1 этаж,,
"Сущёвская улица, 9",70000001033550164,"DmDent, стоматология доктора Микаеляна",branch,,,1 этаж,,
"улица Лётчика Бабушкина, 29 к2",70000001060215599,"Дентал Бюро, стоматологическая клиника",branch,,,вывеска Cтоматология,,
"улица Александры Монаховой, 84 к1",70000001103084268,"U дент, стоматология",branch,,,,,
"Пятницкое шоссе, 37",4504127908543521,Стоматология Инновационных Технологий,branch,,,1 этаж,,
"Адмирала Лазарева улица, 30",4504127908964871,"Неомед, стоматологический центр",branch,,,1 этаж,,
"улица Маршала Савицкого, 20 к1",4504127909011317,"Дантистъ Грандъ плюс, стоматологическая клиника",branch,,,1 этаж,,
"улица Маршала Тухачевского, 14 к1",70000001030047865,"Дэнтал-Элегант, стоматология",branch,,,1 этаж,,
"улица Большая Полянка, 28 к1",4504127908464475,"М-супердент, стоматологическая клиника",branch,,,1 этаж,,
"1-й Стрелковый переулок, 3",70000001088841558,Smilegs,branch,,,1 этаж,,
"микрорайон Родники, 8",70000001079648105,"ГлавВрач, отделение стоматологии",branch,,,1 этаж,,
"Жуков проезд, 21Б",70000001058885970,"Innovastom, стоматология",branch,,,1 этаж,,
"Липовая аллея, 5а",70000001109884083,"Денталогика, стоматология",branch,,,1 этаж,,
"улица Жулябина, 9",70000001023218999,"Авва, стоматологическая клиника",branch,,,2 этаж,,
"Большой Сухаревский переулок, 25 ст2",70000001093671247,"Дентал Академия, стоматологическая клиника",branch,,,2 этаж,,
"Люсиновская улица, 55",70000001031339347,"Solo, стоматология",branch,,,1 этаж,,
"улица Алабяна, 12 к4",70000001096444251,"MB2 Clinic, стоматологическая клиника",branch,,,цокольный этаж,,
"Зелёная улица, 41",70000001049491691,Моя Стоматология,branch,,,1 этаж,,
"Малая Красносельская улица, 2/8",70000001049880939,"Стоматологический кабинет, НИКИЭТ",branch,,,1 этаж,,
"Баулинская улица, 2",70000001060615683,"Дентал-эксперт, стоматологическая клиника",branch,,,1 этаж,,
"улица Авиаконструктора Миля, 26",4504127909067974,"Veedenta, стоматологическая клиника",branch,,,1 этаж,,
"Столярный переулок, 2",4504127908400934,"Дентекс, стоматологическая клиника",branch,,,1 этаж,,
"Новое шоссе, 8 к1",70000001032682973,"Профистиль, стоматология",branch,,,1 этаж,,
"Лубянский проезд, 19 ст1",70000001052174144,"Vardui, стоматологическая клиника",branch,,,1 этаж,,
"Большая Остроумовская улица, 10 к2",4504127908560944,"Техно Сервис Лимитэд, стоматологическая клиника",branch,,,1 этаж; вход со двора,,
"улица Вавилова, 97",4504128908358108,"Vitam, центр современной стоматологии",branch,,,1 этаж,,
"Молодёжная улица, 74",70000001035012392,"Доктор прайм, стоматологическая клиника",branch,,,1 этаж,,
"улица Гиляровского, 76 ст2",70000001024731303,Стоматология доктора Мансурского,branch,,,2 этаж,,
"Каширское шоссе, 122",70000001058777038,"СпаркоДент, стоматологическая клиника",branch,,,,,
"Чечёрский проезд, 122 к3",70000001063502753,"Дарья-дент, стоматология",branch,,,1 этаж,,
"Лесная улица, 21",4504127915874824,"Дента-Стар, стоматологическая клиника",branch,,,1 этаж; вход со стороны дороги,,
"Мансуровский переулок, 8",4504128908703139,"ensmile, стоматологическая клиника",branch,,,1 этаж,,
"Большая Академическая улица, 49 к1",70000001040470490,"Забота, стоматологическая клиника",branch,,,1 этаж,,
"улица Академика Понтрягина, 25",70000001063018703,"Улыбка, стоматологический центр",branch,,,1 этаж,,
"улица Тельнова, 10а",70000001039903181,"Estudi, стоматология",branch,,,111 офис; 1 этаж,,
"Советская площадь, 5",70000001064939990,"Стомлайн, стоматологическая клиника",branch,,,,,
"улица Богданова, 2 к1",4504127909241109,"Улыбка Солнца, стоматологический центр",branch,,,1 этаж,,
"улица Чехова, 79 к3",70000001025897811,"Ивостом, стоматологическая клиника",branch,,,1 этаж,,
"Новочерёмушкинская улица, 11 к2",4504127912906657,"Селфи дэнт, стоматологическая клиника",branch,,,1 этаж,,
"улица Малые Каменщики, 4",4504127908550401,Стоматология на Таганке,branch,,,1 этаж,,
"улица Викторенко, 4 к1",70000001035687346,"Эста-смайлдент, центр стоматологии и имплантации",branch,,,1 этаж,,
"проспект Мира, 102 ст27",70000001041023747,"Астра, стоматологическая клиника",branch,,,1 этаж; 10 подъезд,,
"улица Сущёвский Вал, 5 ст1",70000001053936511,"МегаДент, стоматологическая клиника",branch,,,OF02 01 офис; 2 этаж; 5 подъезд,,
"улица Фомичёвой, 16 к5",70000001032557641,"Доктор`S, стоматологический центр",branch,,,1 этаж,,
"Пятницкое шоссе, 6 к3",70000001062680816,"Эрика Дент Митино, стоматологическая клиника",branch,,,,,
"Пушкинская улица, 13",4504127908871250,"Жемчуг, медицинский центр",branch,,,1 этаж,,
"Зеленоград, к1006Б",70000001023796933,"Эталон клиник, стоматологический кабинет",branch,,,2 этаж,,
"Лихачёвский проспект, 68 к5",70000001080072178,"N-Medical Group, стоматологическая клиника",branch,,,1 этаж,,
