address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"Дмитровское шоссе, 71Б",70000001040003321,"abc clinic Moscow, стоматология",branch,,,306 офис; 3 этаж; А подъезд,,
"Волгоградский проспект, 1 ст1",70000001080728932,"Доктор Гудман, частная стоматология",branch,,,1 этаж,,
"Волгоградский проспект, 4а",70000001068225446,"Рутт, клиника",branch,,,2 этаж,,
"Чертановская улица, 38 к1",70000001061316713,"Аполлония-мед, медицинский центр-стоматология для детей и взрослых",branch,,,1 этаж,,
"Смоленская набережная, 2 к2",4504127908682816,"Лечебно-оздоровительный центр МИД России, отделение платных услуг",branch,"Москва, Лечебно-оздоровительный центр МИД России, ФГБУ",Медицинское учреждение,,"Лечебно-оздоровительный центр МИД России, ФГБУ",
"улица Арбат, 28/1 ст1",4504127908575761,"Моситалмед, медицинский центр",branch,,,1 этаж,,
"улица Недорубова, 15",70000001042759897,"МариЛав, клиника красоты",branch,,,1 этаж,,
"Шмитовский проезд, 3 ст2",70000001036059418,"Crocodent, федеральная стоматологическая клиника",branch,,,1-2 этаж,,
"Нагатинская улица, 10",70000001041828719,"Эльклиник, медицинский центр",branch,,,1 этаж,,
"Профсоюзная улица, 104",70000001041650917,"Ист Клиника, многопрофильная медицинская клиника",branch,,,2 этаж,,
"Таганская улица, 26",70000001048443263,"Ами Клиник, стоматологический центр",branch,,,1 этаж,,
"Золоторожский Вал улица, 32 ст29",70000001028968710,"Muras Сlinic, медицинский центр",branch,,,1 этаж,,
"4-й Монетчиковский переулок, 1/6 ст3",4504127917833195,Клиника доктора Мясникова,branch,"Москва, 4-й Монетчиковский переулок, 1/6 ст3 / 6-й Монетчиковский переулок, 6 ст3",Медицинское учреждение,"1, 2 этаж",,
"бульвар Дмитрия Донского, 8",4504127908568572,"Добромед, сеть клиник семейной медицины",branch,,,,,
"Мичуринский проспект, 26",70000001034195788,"Эволюция, стоматологический центр",branch,,,2 этаж,,
"улица Образцова, 11 ст2",4504127908584302,"Рамбам, медицинский центр",branch,,,1 этаж,,
"Коровинское шоссе, 9 к2",70000001025241767,Клиника доктора Матара,branch,,,1 этаж,,
"Рабочая улица, 75а",70000001032825565,"А-Медика, многофункциональный медицинский центр",branch,,,"цокольный, 1 этаж",,
"улица Столетова, 19",70000001065365929,"InLine, стоматологическая клиника",branch,,,,,
"Строительная улица, 3",4504128908491593,"Вита Медикус, поликлиника №2",branch,,,1 этаж,,
"Старопименовский переулок, 8 ст1",4504127908463771,"Лик, стоматологическая клиника",branch,,,1 этаж,,
"Нагорная улица, 9",70000001027292909,"Никсор, многопрофильный медицинский центр",branch,,,1 этаж,,
